id,name,brand,price,dept,description
15,Stuffed Animal,Sock Monkey,19.99,4,"This adorable stuffed animal is perfect for cuddling! Its soft fur and bright colors make it a great companion for any child. Its friendly face is sure to bring a smile to your little one's face. Perfect as a gift or as an addition to your home, this stuffed animal will bring joy to any household."
16,100 pc Puzzle,Ceaco,1.99,4,"This 100 pc Puzzle is perfect for young children, featuring a bright and vibrant design of animals and nature. It has large pieces that are easy to grip and manipulate, stimulating children’s problem-solving skills and helping to develop their manual dexterity and hand-eye coordination. It also encourages creative thinking and teaches patience and perseverance as children figure out how to build the puzzle."
17,250 pc Puzzle,Ceaco,2.99,4,"This 250 pc puzzle is the perfect way to challenge yourself or your family. Featuring a vibrant, high-resolution image, this puzzle is sure to bring hours of fun and entertainment as you work to piece it together. With 250 pieces, it's the perfect amount of difficulty for all ages. Enjoy the satisfaction of completing this puzzle and the beautiful result it will bring."
18,500 pc Puzzle,Ceaco,9.99,4,"This 500-piece puzzle is perfect for puzzlers of all ages. Featuring a vibrant image with a variety of colors and shapes, this puzzle is sure to challenge and entertain. The pieces are crafted from sturdy cardboard and fit together perfectly for hours of fun. With such a large variety of pieces, you’ll never run out of new combinations to try. Get ready to create a masterpiece!"
19,1000 pc Puzzle,Bulk buys,10.99,4,"This 1000 piece jigsaw puzzle is a great way to challenge and entertain the whole family. Featuring a beautiful image of a vibrant landscape, this puzzle is sure to keep everyone busy for hours. Each piece is precisely cut to fit together perfectly, making it a fun and rewarding experience to assemble. This puzzle is perfect for family game nights or just to relax and de-stress."
20,Gas-powered Tiller,Greenworks,159,3,"The Gas-powered Tiller is a gardening tool designed to loosen soil and cultivate weeds. It is powered by an efficient 4-stroke engine that provides maximum power, enabling it to tackle even the toughest of soils. The tiller features adjustable tilling depth and width, allowing you to customize it to your specific needs. The ergonomic design makes it comfortable and easy to use, while the lightweight construction makes it easy to transport and store. This reliable tiller is the perfect tool for any gardening enthusiast looking to take their garden to the next level."
21,Electric Tiller,Sun Joe,129.99,3,"The Electric Tiller is a powerful and versatile tool, perfect for tackling tough gardening jobs. It is equipped with a reliable motor and a sturdy frame, designed to make tilling soil a breeze. With adjustable handles and adjustable tines, it is easy to customize the tilling depth to fit your needs. The tiller also comes with a wheel kit, making it easy to move around the garden. This electric tiller is perfect for quickly breaking up soil, aerating soil, and preparing beds for planting."
22,Lawnmower,Honda,369,3,"This lawnmower is a powerful and efficient tool for keeping your lawn looking its best. It features a high-performance engine and a large cutting deck that makes mowing your lawn quick and easy. The adjustable cutting height and ergonomic handle allow you to easily maneuver and customize the perfect cut. It also has a grass catcher bag to help keep your lawn clean and tidy. With its durable construction and reliable performance, this lawnmower is perfect for keeping your lawn looking great."
23,Chainsaw,Stihl,329.95,7,"A chainsaw is a portable, mechanical saw which cuts with a set of teeth attached to a rotating chain that runs along a guide bar. It is used in activities such as tree felling, limbing, bucking, pruning, cutting firebreaks in wildland fire suppression, and harvesting of firewood."
24,Rake,Expert Gardener,9.94,7,"Rake is a versatile and sturdy garden tool designed for gathering leaves, collecting debris, and loosening soil. It features a long handle with a wide head of flexible tines that work together to quickly and efficiently move material from one place to another. This lightweight and durable tool is ideal for use in gardens, yards, and other outdoor spaces."
25,Shovel,Garden shovel,24.99,7,"The Shovel is a heavy duty, multi-purpose tool that is perfect for digging, moving dirt, and other gardening or landscaping tasks. It is made with a strong and durable steel head and a comfortable wooden handle for easy gripping. The Shovel is strong enough to handle tough tasks, yet lightweight enough for easy transport and storage."
26,Axe,Forester,19.47,7,"Axe is a men’s grooming brand offering a range of products designed to help men look and feel their best. The brand emphasizes confident and stylish looks, and its products range from body wash and deodorant to hair gels and styling products. Axe also produces body sprays, colognes, and perfumes for men, helping to create a signature scent that lasts all day."
27,Hatchet,Fiskars,19.99,7,"Hatchet is a tool designed for outdoor use. It is a versatile tool that can be used to chop wood, cut branches, and split logs. Its sharp blade is made of durable steel and its handle is comfortable to hold. It is a great tool for camping, hiking, and other outdoor activities."
28,Aspirin,Bayer,9.99,19,"Aspirin is a non-steroidal anti-inflammatory drug used to relieve pain, fever, and inflammation. It is also used to reduce the risk of heart attack, stroke, and other cardiovascular diseases. Aspirin works by blocking the production of prostaglandins, which are hormone-like substances that can cause inflammation and pain. Aspirin is available in tablet, capsule, and liquid forms. It is important to follow the instructions provided by your doctor when taking Aspirin."
29,Ibuprofen,Advil,19.99,19,"Ibuprofen is a non-steroidal anti-inflammatory drug (NSAID) used to treat pain, fever, and inflammation. It is available in both over-the-counter (OTC) and prescription strength. Ibuprofen works by blocking the production of certain hormones that cause pain, fever, and inflammation. It can be used to treat a wide range of conditions, including headaches, muscle aches, arthritis, menstrual cramps, and toothaches. It can also be used to reduce fever and relieve the pain and swelling associated with many types of injuries."
30,Band-aids,Band-Aid,7.99,19,"Band-aids are adhesive bandages used to cover minor cuts and scrapes. They are made of flexible material and come in a variety of shapes and sizes to accommodate different body parts. Band-aids feature a strong adhesive backing that keeps them securely in place, providing a barrier against infection and helping to protect the wound from dirt and germs. They are easy to apply and remove, and can be used on both children and adults."
31,Gauze,Kendall,10.39,19,"Gauze is a lightweight, open-weave fabric used to dress wounds and make bandages. It is made of cotton or synthetic fibers and is used in medical settings to absorb fluid, protect and cover wounds, and provide air circulation. It is also used in clothing and other fabric-related items."
32,Car Battery,Duracell,129.99,17,"This car battery is a reliable power source for your vehicle. It provides a strong, consistent power supply for your car's electrical system, allowing it to start quickly and run smoothly. The battery is designed for long-lasting performance, with a durable construction that can withstand tough conditions. With the included warranty, you can be sure that your car battery will be a reliable source of power for your vehicle."
33,Blush,Sephora,26,18,"Blush is a cosmetic product designed to give the cheeks a natural, rosy glow. It can be used to contour, highlight, and add color to the cheeks for a more defined look. Blush can be applied with a brush, sponge, or fingers, and comes in a variety of shades to suit any skin tone."
34,Tent,REI,129.95,14,"A tent is a shelter consisting of sheets of fabric or other material draped over, attached to a frame of poles or attached to a supporting rope. Tents are typically used for recreational camping and are usually waterproof and durable."
35,Propane Stove,Coleman,59.99,14,"The Propane Stove is a powerful and efficient cooking appliance that uses propane as its fuel source. It is easy to use and offers precise temperature control with an adjustable flame, allowing you to cook a wide variety of meals quickly and evenly. It is great for outdoor cooking, camping, or simply cooking at home. It is lightweight and portable, making it easy to take along with you on any adventure."
36,Flashlight,Maglite,19.99,14,"This flashlight is a powerful, multi-functional light source featuring a long-lasting LED bulb, adjustable brightness settings, and a convenient carabiner clip for easy carrying. It is lightweight and compact, making it perfect for camping, hiking, and other outdoor activities. With its durable design and water-resistant casing, this flashlight is sure to provide reliable illumination for any situation."
37,Diapers,Pampers,24.99,6,"Diapers are an essential item for keeping babies comfortable and dry. They are designed to be highly absorbent and comfortable for a baby's sensitive skin. Diapers come in various sizes, styles and materials to suit your needs. They are also available in a range of colors and patterns to suit your baby's personal style."
38,Pacifier,Nuk,6.99,6,"The Pacifier is an essential item for parents with babies and toddlers. It is designed to soothe your child and keep them from crying and fussing. This pacifier is made from high-quality materials and comes in a variety of colors and styles to suit your child's needs. It is also BPA-free and easy to clean, making it safe and convenient for your child's use."
39,Crib,Graco,299.99,6,"The Crib is a safe and comfortable sleeping solution for infants and toddlers. It features a sturdy and durable construction built with high-quality materials, and a curved headboard with a modern look. The crib comes with adjustable mattress heights, so you can find the perfect sleeping position for your little one. It also includes a detachable side rail for easy transfers in and out of the crib, and an integrated storage drawer for extra items. This Crib is designed to provide a safe and secure sleeping environment for your little one."
40,Digital Song,Apple,0.99,15,"Digital Song is a digital music service that makes it easy to discover, purchase and listen to your favorite songs. With an extensive library of millions of songs, Digital Song makes it easy to find the perfect track for any moment. Whether you’re looking for the latest hits or a classic favorite, Digital Song has it all. With access to a range of genres, you can find the perfect song for any occasion. Enjoy unlimited access to your favorite songs and start building your music library today."
41,Digital Album,Apple,9.99,15,"This digital album contains a collection of your favorite songs, all in one convenient package. It features high-quality audio recordings and comes with a variety of bonus features, including lyrics, artist bios, and music videos. Enjoy hours of your favorite music anytime, anywhere."
42,Hammer,Stanley,19.97,7,"A hammer is a tool consisting of a weighted head fixed to a long handle that is swung to deliver an impact to a small area of an object. This tool is commonly used for driving in nails, fitting parts, and breaking apart objects. Hammers vary in size, weight, and design depending on the task they are used for."
43,Drill,Drill,129.99,7,"The Drill is a handheld power tool that is used to make holes in various materials such as wood, metal, plastic, and concrete. It is powered by an electric motor, which rotates a drill bit at high speed. It is used for a variety of projects such as drilling holes for screws, making pilot holes for larger screws, drilling into masonry, and creating grooves in wood. It is a versatile and powerful tool that is essential for any workshop or construction project."
44,Screwdriver,Kobalt,24.97,7,"This screwdriver is a handy tool that makes it easy to drive screws into any type of material. It features a comfortable handle with a rubber grip, a strong shaft made of stainless steel, and a precision-ground tip that is designed to fit into most screw heads. This screwdriver is perfect for any home, office, or workshop and is sure to make any job easier."
45,Pliers,Craftsman,19.99,7,"Pliers are a versatile tool used for gripping and manipulating objects. They are typically composed of two metal arms connected at a pivot point, with a gripping end at one end and a cutting end at the other. Pliers are used in a variety of applications, such as gripping, cutting, bending, and twisting wire, rods, and other objects."
46,Socket Wrench,Craftsman,19.99,7,"A socket wrench is a tool used for turning fasteners, such as nuts and bolts. It consists of a handle, usually made of steel, with a socket head at one end that fits over the fastener. The handle provides leverage to help turn the fastener. Socket wrenches are available in a variety of sizes and designs, making them ideal for a wide range of applications, from light-duty home repairs to heavy-duty industrial work."
47,Tile Cutter,Dewalt,59.99,7,"The Tile Cutter is a powerful and reliable tool designed for cutting and trimming ceramic and porcelain tiles quickly and accurately. It features a durable, heavy-duty steel body for long-lasting durability, adjustable cutting depth for precise cuts, a comfortable ergonomic grip for easy handling, and a built-in scoring wheel for clean and precise cuts. The Tile Cutter is perfect for DIYers and professionals alike and is ideal for tiling projects of any size."
48,Sandpaper,3M,22.97,7,"Sandpaper is an abrasive material used for smoothing and shaping wood, metal, and other surfaces. It is available in a variety of grit sizes and grades, and is used with sanding blocks, sanding machines, and other tools. It is often used to remove rust, paint, and other materials from surfaces, as well as to create a smooth and uniform finish on wood and other materials."
49,Glue,3M,3.99,7,"Glue is an adhesive material used to stick two or more objects together. It can be applied in a liquid, paste, or powder form, and is often made from materials such as polymers, proteins, or natural resins. Glue can be used in a variety of applications, from crafting to industrial uses, and is available in a wide range of strengths and viscosities."
50,Screws,Bolt Depot,0.18,7,"Screws are small metal fasteners used to join two or more objects together by inserting the pointed end into a pre-drilled hole and tightening it with a screwdriver or wrench. They are available in a variety of sizes and materials, including steel, brass, aluminum, and stainless steel."
51,Nails,China Glaze,7.5,7,"Nails are small, pointed metal fasteners used to join objects together or to hang objects up. They can be made of steel, copper, aluminum, and other metals. Nails are available in various shapes and sizes and are used in a variety of applications, including construction, carpentry, and metalworking."
52,Guitar,Fender,499.99,15,"This guitar is a great choice for any aspiring musician looking to take their music to the next level. It features a classic design with a sleek, modern finish, and its sound is rich and full-bodied. It is constructed from high-quality materials and is designed to withstand years of use. With its comfortable neck and easy-to-play action, this guitar is perfect for beginners and experienced musicians alike."
53,Bass Guitar,Ibanez,349.99,15,"A bass guitar is a stringed instrument usually played with the fingers or a pick. It is the lowest-pitched member of the guitar family and is typically used to provide rhythm and basslines in a musical ensemble. Bass guitars come in a variety of shapes and sizes, and range from beginner-friendly instruments to pro-level models suitable for studio and gigging musicians."
54,Keyboard,A4Tech,19.99,15,"The Keyboard is a device used to enter text and symbols into a computer or other electronic device. It is composed of keys that are pressed to type letters, numbers, and other symbols. Keyboards are essential for many tasks, such as typing documents and filling out forms. They come in a range of sizes and styles, with features such as backlighting, multimedia keys, and programmable buttons."
55,Keytar,Casio,279.99,15,"The Keytar is an electronic musical instrument that combines elements of both a keyboard and a guitar. It features a traditional keyboard-style layout and is typically held in a standing position, similar to an electric guitar. The Keytar is a great choice for aspiring musicians and experienced performers alike, allowing for expressive and dynamic playing with its range of features, such as volume and pitch control, programmable sounds, and MIDI support."
56,Guitar Strap,Fender,19.99,15,"This guitar strap is designed to provide comfort and support for your guitar. Made from durable nylon webbing, it is adjustable to fit most guitars, and features a comfortable leather end tab to ensure a secure fit. The length is adjustable from 33"" to 55"" and the width is 2"". The guitar strap is available in a variety of colors, so you can find the perfect one to match your guitar."
57,Guitar Pick,D'Addario,5.99,15,"Guitar Pick is a small, thin piece of plastic or other material used to pluck the strings of a guitar. It is usually triangular in shape, with the tip rounded off to make it easier to play. Guitar picks come in different sizes, thicknesses, and materials, allowing the player to choose one that best suits their playing style."
58,Tuner,Tuner,24.99,15,The Tuner is a device designed to accurately tune musical instruments. It utilizes advanced audio processing technology to detect and analyze the sound of a musical instrument and then adjusts the pitch accordingly. It is easy to use and offers quick and accurate results. The Tuner is perfect for musicians of any skill level.
59,Digital Camera,Sony,349.99,8,"The Digital Camera is a high-quality device designed to capture stunning photos and videos in a variety of settings. It features a powerful image processor and advanced optics, allowing for clear and sharp photos and videos even in low-light conditions. Its intuitive menu and easy-to-use controls make it an ideal choice for beginners and professionals alike. With its wide range of features and settings, the Digital Camera is the perfect companion for any photographer."
60,Digital Picture Frame,Nixplay,129.99,8,"The Digital Picture Frame is a modern and stylish way to display your favorite photos and videos. It features a high-resolution LCD display and adjustable settings to customize your viewing experience. This frame allows you to easily upload your images and videos directly from your computer or smartphone, and the intuitive user interface makes it easy to navigate through your collection. You can also share your memories with friends and family by connecting it to your Wi-Fi network or Bluetooth. With its sleek design and vibrant colors, the Digital Picture Frame is the perfect addition to any home."
61,Golf Balls (3 pc),Titleist,44.99,10,"This 3-pack of golf balls is perfect for the avid golfer. Made with a durable, two-piece construction and featuring a high-visibility, bright color, these golf balls are designed to provide maximum distance and accuracy. The advanced core technology ensures a consistent flight and improved feel. With these golf balls, you can take your game to the next level."
62,Golf Balls (12 pc),Titleist,39.99,10,"This pack of 12 golf balls offers excellent quality and performance. The balls are designed to maximize distance, accuracy, and spin and feature a 2-piece construction, low compression core and durable cut-proof cover. The balls are perfect for golfers of all skill levels, allowing you to play your best game."
63,Softball Helmet,Rawlings,39.99,10,"This softball helmet is designed to provide maximum protection and comfort for the wearer. It features a durable shell and a comfortable, breathable inner liner. It features a soft padding for extra cushioning and adjustable straps for a snug and secure fit. Its strong construction and lightweight design make it ideal for any softball player."
64,Softball,Nike,19.99,10,"Softball is a popular sport that combines the rules of baseball and the speed of fast-pitch. It is played on a smaller diamond with a bigger, softer ball and a shorter pitching distance. The game is perfect for all ages and skill levels, and is a great way to get outside and enjoy a competitive game."
65,Baseball,Rawlings,50,10,"Baseball is a popular bat-and-ball game played between two teams of nine players each. The aim of the game is to score points by hitting a ball with a bat and running around a series of four bases arranged in a diamond shape. A game of baseball typically consists of nine innings, during which each team attempts to score runs by hitting the ball and running around the bases. The team with the most runs at the end of the game is declared the winner. Baseball is a sport enjoyed by people of all ages, and is a great way to stay active and have fun."
66,T-Ball,Softee T-Ball,19.99,10,"T-Ball is designed to help children learn the basics of baseball while having fun. It is a lightweight, soft, foam ball that is easy to hit. It is perfect for young children who are just starting to learn the game of baseball. It can be used indoors or outdoors, and is great for teaching hand-eye coordination and motor skills."
67,Soccer Ball,Nike,19.99,10,"This Soccer Ball is a great choice for playing soccer. It is made with a durable outer shell and comes with a soft inner lining for added comfort. The ball is designed for high performance, with an aerodynamic shape for improved flight and control. It is perfect for any level of soccer play, from recreational to professional."
68,Lacrosse Stick,STX,89.99,10,"The Lacrosse Stick is an essential tool for any lacrosse player. It is made from lightweight, durable materials and features an ergonomic design for maximum control and comfort during play. The stick is designed for use with a wide range of lacrosse balls and features a deep, scooped pocket that is perfect for catching, carrying, and shooting. The stick also features a long, tapered handle for excellent control and accuracy. With its lightweight construction, the Lacrosse Stick is perfect for any level of lacrosse player."
69,Football Helmet,Riddell,200,10,"This football helmet is designed to provide superior protection and comfort for football players. It features a lightweight, yet strong, shell that is designed to absorb and disperse impact energy and protect against head injuries. It also has a comfortable lining, adjustable straps, and an adjustable chin strap for the best possible fit. The helmet is available in multiple colors and sizes."
70,Shoulder Pads,Shoulder Pads,19.99,10,Shoulder pads are designed to provide protection and support for the shoulders and upper body. They are typically made from foam and other breathable materials to offer comfort and cushioning during physical activities and sports. They help to reduce the risk of shoulder injuries and allow for increased mobility and flexibility. The shoulder pads are perfect for any athlete or active individual looking for additional shoulder protection.
71,Football Tee,Nike,25,10,"Our Football Tee is perfect for any football lover. Featuring a comfortable fit and bold graphics, this t-shirt is a great way to show your team spirit. Made from a durable, lightweight fabric, this tee will keep you cool and comfortable throughout the game. Whether you're heading to the stadium or watching from home, the Football Tee is sure to become a fan favorite."
72,Golf Tees,Titleist,19.99,10,"Golf tees are small, pointed pieces of wood or plastic used to hold a golf ball off the ground when teeing off. They are an essential part of the game of golf and are used to give the player the best possible start to their shot. Golf tees come in a variety of sizes, styles and materials, and can be used on most types of grass."
73,Practice Mat,Gaiam,24.99,10,"This practice mat is perfect for any musician looking to perfect their skills. It provides a large, cushioned surface for playing various instruments, including drums, keyboards, and guitars. The mat is lightweight and portable, making it easy to transport to your practice space. It also has a non-slip backing, so it won't slide around while you play. With this practice mat, you'll be able to practice your favorite tunes any time, anywhere."
74,Practice Net,Cleveland Golf,129.99,10,"Practice Net is a revolutionary training tool designed to help athletes improve their performance by providing an interactive platform for perfecting their sport. Featuring a unique combination of software and hardware, Practice Net provides users with a personalized training experience that helps them to hone their skills, develop new strategies, and increase their overall performance. With its innovative technology, Practice Net helps athletes to maximize their potential and reach their goals."
75,Driver,Cleveland Golf,99.99,10,"Driver is a software program that enables the communication between a computer and a peripheral device. It helps to translate the instructions from the operating system into a language that the hardware can understand and vice versa. It enables the user to access and control the hardware, as well as manage and troubleshoot any issues that may arise. Driver ensures that the hardware is functioning properly and efficiently."
76,Irons (set),Cleveland Golf,399.99,10,"This iron set is perfect for achieving crisp, wrinkle-free garments. It features a non-stick soleplate which glides over fabrics, adjustable temperature and steam settings, and an anti-drip system to keep your clothes looking pristine. The set also includes a convenient water tank and a self-cleaning feature for easy maintenance. With this iron, you’ll have the perfect tool for effortless and efficient ironing."
77,Putter,Titleist,149.99,10,"This putter is designed to deliver an accurate and consistent strike, with a soft feel and great sound. It features a precision milled face and a deep, low-profile head shape for improved accuracy and stability. The club is crafted with a lightweight, aerospace-grade aluminum alloy for enhanced durability and a classic, timeless look. It is perfect for golfers of all levels looking for a reliable, tour-quality putter."
78,Soccer Goal,Nike,120,10,"This Soccer Goal is made of durable yet lightweight aluminum, making it ideal for a variety of sports and recreational activities. It features a solid steel frame with a net and a heavy-duty nylon sleeve and bungee cords that provide superior stability. The goal is easy to assemble, making it perfect for any soccer enthusiast. It is perfect for backyard practice or friendly competition and is sure to provide hours of entertainment."
79,Lacrosse Goal,STX Lacrosse Goal,129.99,10,"The Lacrosse Goal is a high-quality, durable, and weatherproof goal designed for all levels of play. It is constructed from sturdy steel tubing and powder-coated for maximum durability and strength. The goal is designed to provide a professional and realistic feel for players, and the net is made from heavy-duty, weather-resistant nylon for maximum performance. The goal features adjustable ground stakes for easy setup, and the frame is reinforced with welded steel sleeves for added stability. Perfect for practice or an official game, the Lacrosse Goal is a great way to improve your game."
80,Basketball,Nike,59.99,10,"Basketball is a popular team sport in which two teams of five players try to score points by shooting a ball through a hoop elevated 10 feet above the ground. The team with the most points at the end of the game wins. Basketball is a fast-paced, physical game that requires players to have good hand-eye coordination, strength, agility, and the ability to think and react quickly. It is a popular spectator sport and a great way to stay active."
81,Basketball (kids),Adidas,19.99,10,This Basketball is designed for kids aged 6 to 12 years old. It is made from durable rubber and has a textured surface designed for optimal grip. It is also designed to be lightweight and easy for kids to handle. The basketball also features a colourful design to make it fun and attractive for kids.
82,Basketball Hoop,Lifetime,54.99,10,"The Basketball Hoop is a great way to get your kids active and have fun. It is made of durable steel and comes with a durable nylon net. It can easily be mounted on a wall or door, and comes with all the necessary mounting hardware. It's perfect for shooting hoops in the driveway or backyard, and is sure to provide hours of fun for your kids."
83,Air Pump,Bravo,19.99,10,"The Air Pump is an essential tool for inflating tires, air mattresses, and other inflatables. It is designed to provide quick and easy inflation and deflation, with adjustable pressure settings to suit different needs. The pump is light-weight and portable, making it ideal for use at home or on the go. It features an automatic shut-off function to prevent over-inflation and comes with a variety of accessories to make it versatile."
84,Pump Needle,BD,21.99,10,"The Pump Needle is a durable and reliable tool for accurately and quickly delivering fluids such as oil, fuel, antifreeze, and more. It features a precise and adjustable needle tip, allowing for precise and controlled delivery of fluids. The ergonomic design and comfortable grip make it easy to use, while the stainless steel construction ensures long-lasting durability. This product can be used for a variety of automotive and industrial applications."
85,HDMI Cable,Amazon Basics,19.99,8,This HDMI Cable is designed to provide superior audio and video quality for high-definition multimedia. It is engineered with gold-plated connectors and oxygen-free copper wire core to ensure maximum signal transfer and minimal signal loss. It is also fully compatible with all HDMI-enabled devices.
86,USB 3.0 Cable,Monoprice,11.99,8,"This USB 3.0 Cable is designed to provide a high speed connection between your computer and any device that supports the USB 3.0 standard. The cable features an A-Male to B-Male connection and is capable of transferring data up to 5Gbps, 10x faster than USB 2.0. The cable is made of durable materials, ensuring long-lasting performance and reliability."
87,USB-C Cable,Anker,19.99,8,"This USB-C cable is designed to provide high-speed data transfer and charging power for your USB-C devices. It features a reversible connector, allowing you to plug it in either way without having to worry about the orientation. It is made of durable and high-quality materials to ensure reliable performance and a long lifespan. It is compatible with a wide range of USB-C devices, including smartphones, tablets, laptops, and more."
88,Wireless Headphones,Beats by Dr. Dre,299.95,8,"These wireless headphones provide a convenient and comfortable way to listen to your favorite music. With their wireless connection and noise-canceling technology, they allow you to enjoy your music without any outside distractions. They have a long-lasting battery life and are made with an ergonomic design to ensure a secure and comfortable fit. They also come with a convenient carrying case, making them perfect for everyday use."
89,Wireless Earbuds,Beats by Dr. Dre,199.95,8,"These Wireless Earbuds are designed for high-quality sound and comfort, featuring a lightweight design and secure fit. They offer superior audio performance with clear mids and highs, deep bass, and crisp treble. The Bluetooth connectivity and long battery life make them ideal for on-the-go listening, and the included charging case ensures you never run out of power. Enjoy your music without the hassle of wires!"
90,Bluetooth Speaker,JBL,99.95,8,"This Bluetooth Speaker allows you to wirelessly stream your favorite music, podcasts, and audio books. It has a crisp, clear sound, with a high-quality audio experience. The speaker is also designed to be portable, with a lightweight design and a rechargeable battery that lasts up to 8 hours. It's perfect for listening to music, podcasts, and audio books on the go."
91,Bluetooth Headset,Beats by Dr. Dre,149.95,8,"This Bluetooth Headset is perfect for hands-free calling and listening to music on the go. It features a lightweight and comfortable design with an adjustable headband and ear cups for a secure fit. The built-in microphone and controls make it easy to answer calls, adjust volume, and switch between music and calls. With up to 8 hours of playback time, this headset is the perfect solution for anyone on the go."
92,Keyboard,A4Tech,19.99,15,"The Keyboard is a device used to input data into a computer or other electronic device. It consists of a set of keys that are pressed to type letters, numbers, symbols, and other characters. It can be used for typing, gaming, and many other tasks. The keys are usually arranged in a standard QWERTY layout, which is designed for ease of use and speed. Many keyboards also come with additional features such as multimedia keys, backlighting, and programmable keys."
93,Mouse,Razer,49.99,8,"This mouse is a high-performance gaming mouse with an ergonomic design for comfortable use. It comes with on-the-fly DPI adjustments, adjustable weights, and programmable buttons for a custom gaming experience. It also has a high-precision optical sensor for smooth and accurate tracking."
94,VR Googles,Oculus Rift,399,22,"VR Googles are a type of virtual reality headset designed to provide a fully immersive experience. They allow users to explore and interact with 3D environments from the comfort of their own home. The headset features a wide field of view and head tracking technology that provides a seamless, realistic experience. It also includes integrated audio, allowing users to hear their environment as they explore it."
95,Gaming Controller,Xbox One Controller,59.99,22,"This Gaming Controller is a user-friendly device designed to make gaming easier, more responsive and more enjoyable. It features dual analog sticks and two triggers that are designed to provide smooth and precise control in gaming, as well as a set of action buttons and directional pad for quick access to gaming commands. The controller is designed to work with a wide range of gaming systems, including Xbox, PlayStation, PC and mobile devices. It is compatible with most gaming platforms and offers a comfortable grip, allowing long hours of gaming without fatigue."
96,Gaming Headset,Astro Gaming,99.99,22,"This gaming headset offers an immersive gaming experience with its high-quality stereo sound, noise-cancelling microphone, and adjustable headband for maximum comfort. It is compatible with most gaming consoles and PCs and offers a crisp, clear sound for an optimal gaming experience. The headset also features an adjustable volume control and adjustable microphone for easy access."
